 

V: is central point from which we scan the grid
X: is a blocked cell that cannot be looked past

By default, all cells are visible from V.
But cells behind X are not. So the visibility has to be calculated using simple math relation:
V is on x:12 and y:10. 

Right side border:
The right-side visibility limit is is on 13:15.  That makes a difference of 1:5.
12:10 - 13: 15  = 1:5
next step: 13:15 + 1:5 = 14:20  (for implementation, use interpolation, so 12:10 + 2*(1:5) = 14:20)
Another step is on 15:25

Left side border:
12:10 - 15:13 - 2:3  so :  15:13 ,  17:16,   19:16  ,   21:19  , 23, 22


Obviously, left border guards leftest visible cells, while right border rightest.


Cells marked with !  are thus not visible from V. Test this
Cells marked with ~ are also not visible V. I'm just marking them specially, because an incorrect program might include them into visible.


  
* ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0 , , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
1 , , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
2 , , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
3 , , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
5 , , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
7 , , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
8 , , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
9 , , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
10, , , , , , , , , , ,  ,  ,V ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
11, , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12, , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
13, , , , , , , , , , ,  ,  ,  ,  ,  ,l1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
14, , , , , , , , , , ,  ,  ,  ,  , X, !,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
15, , , , , , , , , , ,  ,  ,  ,r1, !, ~, !,  ,  ,  ,  ,  ,  ,  ,  ,  , 
16, , , , , , , , , , ,  ,  ,  ,  , !, ~, ~, !,l1,  ,  ,  ,  ,  ,  ,  , 
17, , , , , , , , , , ,  ,  ,  ,  , !, ~, ~, ~, !,  ,  ,  ,  ,  ,  ,  , 
18, , , , , , , , , , ,  ,  ,  ,  , !, ~, ~, ~, ~, !,  ,  ,  ,  ,  ,  , 
19, , , , , , , , , , ,  ,  ,  ,  , !, ~, ~, ~, ~, ~, !,l1,  ,  ,  ,  , 
20, , , , , , , , , , ,  ,  ,  ,  ,r1, ~, ~, ~, ~, ~, ~, !,  ,  ,  ,  , 
21, , , , , , , , , , ,  ,  ,  ,  ,  ,! , ~, ~, ~, ~, ~, ~, !,  ,  ,  , 
22, , , , , , , , , , ,  ,  ,  ,  ,  ,! , ~, ~, ~, ~, ~, ~, ~,l1,  , 
23, , , , , , , , , , ,  ,  ,  ,  ,  ,! , ~, ~, ~, ~, ~, ~, ~, !,  ,  , 
24, , , , , , , , , , ,  ,  ,  ,  ,  ,! , ~, ~, ~, ~, ~, ~, ~, ~, !,  , 
25, , , , , , , , , , ,  ,  ,  ,  ,  ,r1, ~, ~, ~, ~, ~, ~, ~, ~, ~, !, 
26, , , , , , , , , , ,  ,  ,  ,  ,  ,  , !, ~, ~, ~, ~, ~, ~, ~, ~, ~, 








