 
 
 
* ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0 , , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
1 , , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
2 , , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
3 , , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
5 , , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
7 , , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
8 , , , , , , , , , , ,  ,  ,  ,  ,r3,  ,  ,  ,  ,  ,  ,  ,l2,  ,  ,  , 
9 , , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,l2,  ,  ,  ,  ,  ,  ,  ,  , 
10, , , , , , , , , , ,  ,  ,V ,  ,  ,  ,  ,  ,X ,  ,  ,  ,  ,  ,  ,  , 
11, , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,r2,  ,  ,  ,  ,  ,  ,  ,  , 
12, , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,r2 ,  ,  ,  , 
13, , , , , , , , , , ,  ,  ,  ,  ,  ,l1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
14, , , , , , , , , , ,  ,  ,  ,  , X,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
15, , , , , , , , , , ,  ,  ,  ,r1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
16, , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,l1,  ,  ,  ,  ,  ,  , 
17, , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
18, , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
19, , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
20, , , , , , , , , , ,  ,  ,  ,  ,  ,r1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
21, , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
22, , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
23, , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
24, , , , , , , , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 










